#Pose estimation of object wrt camera. X forward, Y left, Z up
#time in seconds since epoch,position(x), position(y), position(z), q_x, q_y, q_z, q_w 

1407270145.1001191139,0.00116654,0.00772048,0.366165,0.0295464,-0.0584758,-0.9978,0.0101434
1407270145.1239087582,0.00112223,0.00779327,0.366126,0.0297765,-0.0589312,-0.997766,0.010143
1407270145.1674792767,0.00121031,0.00761658,0.36619,0.0293163,-0.0580204,-0.997833,0.0101437
1407270145.2225110531,0.00120723,0.0076184,0.366193,0.029336,-0.0580104,-0.99783,0.0104839
1407270145.2682666779,0.00119887,0.00760647,0.366145,0.0294151,-0.0579704,-0.99783,0.0104839
1407270145.3056075573,0.00144034,0.00714979,0.366309,0.0281836,-0.0555434,-0.998003,0.0104857
1407270145.3518843651,0.00135436,0.00732989,0.36626,0.0286455,-0.0564536,-0.997939,0.010485
1407270145.3885316849,0.00116274,0.00767168,0.366194,0.0296088,-0.0582536,-0.997814,0.00980336
1407270145.4330205917,0.00104991,0.00783662,0.366152,0.0301316,-0.0591324,-0.997744,0.0101428
1407270145.4666495323,0.0011405,0.00765782,0.366154,0.0296683,-0.0582232,-0.997811,0.0101435
1407270145.5089421272,0.0013293,0.00731413,0.36623,0.0287416,-0.0564047,-0.997943,0.0101448
1407270145.5497612953,0.00131805,0.00731434,0.366288,0.0287705,-0.05639,-0.997941,0.0103149
1407270145.5888347626,0.00140913,0.00714038,0.366342,0.0283444,-0.0554615,-0.998005,0.0103156
1407270145.6270225048,0.00121476,0.00748542,0.366254,0.0292733,-0.0572791,-0.997876,0.0103143
1407270145.6665158272,0.00109828,0.00771431,0.366163,0.0298925,-0.0584907,-0.997787,0.0103133
1407270145.7046036720,0.000815987,0.00806282,0.366157,0.0311723,-0.0608923,-0.997611,0.00963131
1407270145.7631492615,0.000708105,0.008289,0.366048,0.0316793,-0.0617789,-0.99754,0.00963063
1407270145.8161966801,0.000796408,0.00802344,0.366037,0.0312649,-0.0604622,-0.997627,0.0103117
1407270145.8578910828,0.000792936,0.00806155,0.366075,0.0312855,-0.0604515,-0.997631,0.00997161
1407270145.8989284039,0.00099352,0.00775707,0.366079,0.0303476,-0.0586392,-0.997768,0.00997298
1407270145.9376597404,0.000953725,0.00781626,0.366086,0.0306123,-0.0590766,-0.997732,0.0101427
1407270145.9793281555,0.00094295,0.00783853,0.366101,0.0306905,-0.0592276,-0.997721,0.0101426
1407270146.0220448971,0.000867525,0.00797031,0.366104,0.0310035,-0.0598316,-0.997675,0.0101421
1407270146.0749669075,0.000995959,0.00773921,0.36612,0.0303776,-0.0586236,-0.997766,0.010143
1407270146.1228344440,0.00109577,0.00757363,0.36621,0.0299081,-0.0577176,-0.997833,0.0101437
1407270146.1590187550,0.00108502,0.00758177,0.36622,0.0299081,-0.0577176,-0.997833,0.0101437
1407270146.1919536591,0.00106981,0.00759946,0.366191,0.0299962,-0.0578635,-0.99782,0.0103137
1407270146.2308027744,0.00123904,0.00731676,0.366239,0.0292134,-0.0563534,-0.99793,0.0103148
1407270146.2821741104,0.0010602,0.00761116,0.366239,0.0300159,-0.0578533,-0.997824,0.00997354
